config_name,hidden_layers,activation,optimizer,learning_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
128-64 (Tanh + ADAM lr=0.0001),"[128, 64]",Tanh,adam,0.0001,0.9579218106995885,0.0008230452674897305,0.5027375201288244,0.005475040257648933,0.01111111111111111,0.02222222222222222
128-64 (Tanh + SGD lr=0.1),"[128, 64]",Tanh,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Tanh + SGD lr=0.01),"[128, 64]",Tanh,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Tanh + SGD lr=0.001),"[128, 64]",Tanh,sgd,0.001,0.7866769547325102,0.11471061930634738,0.5096349973161567,0.029385007571903023,0.059967937403652694,0.03293868156454963
128-64 (Tanh + SGD lr=0.0001),"[128, 64]",Tanh,sgd,0.0001,0.6683641975308643,0.12709057652077674,0.5423778851315083,0.057567618455504704,0.10143214893705196,0.04698171326588672
128-64 (Tanh + RMSPROP lr=0.1),"[128, 64]",Tanh,rmsprop,0.1,0.9145061728395062,0.06855813002482743,0.5940418679549115,0.06207772980821109,0.19110511449242867,0.06620055427639421
128-64 (Tanh + RMSPROP lr=0.01),"[128, 64]",Tanh,rmsprop,0.01,0.9632201646090535,0.007867175714630548,0.6454374664519593,0.12435058265515117,0.34992141325851667,0.24707853307028324
128-64 (Tanh + RMSPROP lr=0.001),"[128, 64]",Tanh,rmsprop,0.001,0.9536008230452675,0.006652728278258824,0.4981213097155126,0.002294646752528067,0.0017094017094017096,0.0034188034188034192
128-64 (Tanh + RMSPROP lr=0.0001),"[128, 64]",Tanh,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (LeakyReLU + ADAM lr=0.1),"[128, 64]",LeakyReLU,adam,0.1,0.9925925925925926,0.001108058602291068,0.9353193773483628,0.018345791429053633,0.9073171248738026,0.015545848884287176
128-64 (LeakyReLU + ADAM lr=0.01),"[128, 64]",LeakyReLU,adam,0.01,0.9929012345679012,0.0002622952424687847,0.9337090713902307,0.012265193078115756,0.9107015727542492,0.003326515810562631
128-64 (LeakyReLU + ADAM lr=0.001),"[128, 64]",LeakyReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (LeakyReLU + ADAM lr=0.0001),"[128, 64]",LeakyReLU,adam,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (LeakyReLU + SGD lr=0.1),"[128, 64]",LeakyReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (LeakyReLU + SGD lr=0.01),"[128, 64]",LeakyReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (LeakyReLU + SGD lr=0.001),"[128, 64]",LeakyReLU,sgd,0.001,0.8029320987654321,0.3101598649316596,0.4974503488996243,0.028054315179708675,0.0409863053568884,0.054183224463889026
128-64 (LeakyReLU + SGD lr=0.0001),"[128, 64]",LeakyReLU,sgd,0.0001,0.7622942386831275,0.2318244715444616,0.5471014492753623,0.04370389686615482,0.07380525913789403,0.0640330628412516
128-64 (LeakyReLU + RMSPROP lr=0.1),"[128, 64]",LeakyReLU,rmsprop,0.1,0.9616769547325102,0.0018114009116933039,0.6824208266237252,0.1712867711736977,0.3528387714872661,0.24103872543216487
128-64 (LeakyReLU + RMSPROP lr=0.01),"[128, 64]",LeakyReLU,rmsprop,0.01,0.991358024691358,0.0016396478858548655,0.9393988191089641,0.018477944146059005,0.8951521371351177,0.017146791672918448
128-64 (LeakyReLU + RMSPROP lr=0.001),"[128, 64]",LeakyReLU,rmsprop,0.001,0.9655864197530863,0.008913289554440495,0.5876274825550187,0.10776036781389059,0.2429861264038758,0.2981420731312636
128-64 (LeakyReLU + RMSPROP lr=0.0001),"[128, 64]",LeakyReLU,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + ADAM lr=0.1),"[128, 64]",Sigmoid,adam,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + ADAM lr=0.01),"[128, 64]",Sigmoid,adam,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + ADAM lr=0.001),"[128, 64]",Sigmoid,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + ADAM lr=0.0001),"[128, 64]",Sigmoid,adam,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + SGD lr=0.1),"[128, 64]",Sigmoid,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + SGD lr=0.01),"[128, 64]",Sigmoid,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + SGD lr=0.001),"[128, 64]",Sigmoid,sgd,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + SGD lr=0.0001),"[128, 64]",Sigmoid,sgd,0.0001,0.7750000000000001,0.3666666666666667,0.5,0.0,0.016,0.032
128-64 (Sigmoid + RMSPROP lr=0.1),"[128, 64]",Sigmoid,rmsprop,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + RMSPROP lr=0.01),"[128, 64]",Sigmoid,rmsprop,0.01,0.9501543209876543,0.0111073000627702,0.4957326892109501,0.005795113076227925,0.0,0.0
128-64 (Sigmoid + RMSPROP lr=0.001),"[128, 64]",Sigmoid,rmsprop,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Sigmoid + RMSPROP lr=0.0001),"[128, 64]",Sigmoid,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (ReLU + ADAM lr=0.1),"[128, 64, 32]",ReLU,adam,0.1,0.9782407407407409,0.01842009165169492,0.9166129898013956,0.040388461650861726,0.7901605106845541,0.15419699928405334
128-64-32 (ReLU + ADAM lr=0.01),"[128, 64, 32]",ReLU,adam,0.01,0.9855967078189302,0.013640904562935973,0.8466451959205582,0.1735173144939255,0.7241238907182143,0.3621095430862353
128-64-32 (ReLU + ADAM lr=0.001),"[128, 64, 32]",ReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (ReLU + ADAM lr=0.0001),"[128, 64, 32]",ReLU,adam,0.0001,0.9466563786008232,0.02335390946502058,0.49567901234567896,0.008641975308641992,0.0030379746835443038,0.0060759493670886075
128-64-32 (ReLU + SGD lr=0.1),"[128, 64, 32]",ReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (ReLU + SGD lr=0.01),"[128, 64, 32]",ReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (ReLU + SGD lr=0.001),"[128, 64, 32]",ReLU,sgd,0.001,0.7711934156378601,0.3642053994058274,0.5003757380568976,0.0004904902544953609,0.022445480314335214,0.03139769183863009
128-64-32 (ReLU + SGD lr=0.0001),"[128, 64, 32]",ReLU,sgd,0.0001,0.775,0.3666666666666667,0.5,0.0,0.016,0.032
128-64-32 (ReLU + RMSPROP lr=0.1),"[128, 64, 32]",ReLU,rmsprop,0.1,0.9588991769547326,0.0011316872427983517,0.5209608158883521,0.04192163177670425,0.06334841628959276,0.12669683257918551
128-64-32 (ReLU + RMSPROP lr=0.01),"[128, 64, 32]",ReLU,rmsprop,0.01,0.9799382716049383,0.01396204631563198,0.785829307568438,0.18763464022962772,0.6136046327625616,0.3620777349271023
128-64-32 (ReLU + RMSPROP lr=0.001),"[128, 64, 32]",ReLU,rmsprop,0.001,0.9814300411522634,0.014297635695896519,0.8031400966183575,0.16541671515229223,0.6687443196159436,0.3309551668526938
128-64-32 (ReLU + RMSPROP lr=0.0001),"[128, 64, 32]",ReLU,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (Tanh + ADAM lr=0.1),"[128, 64, 32]",Tanh,adam,0.1,0.9597736625514403,0.004637053946393795,0.7221685453569512,0.14425323243202362,0.43701173559843876,0.17466565977636286
128-64-32 (Tanh + ADAM lr=0.01),"[128, 64, 32]",Tanh,adam,0.01,0.9930041152263375,0.000896892786736755,0.9432098765432098,0.01037589217194657,0.9136457450504653,0.01146583773254213
128-64-32 (Tanh + ADAM lr=0.001),"[128, 64, 32]",Tanh,adam,0.001,0.9525720164609053,0.002595571154638446,0.49699409554482016,0.0013542110372026753,0.0,0.0
128-64-32 (Tanh + ADAM lr=0.0001),"[128, 64, 32]",Tanh,adam,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (Tanh + SGD lr=0.1),"[128, 64, 32]",Tanh,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (Tanh + SGD lr=0.01),"[128, 64, 32]",Tanh,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64-32 (Tanh + SGD lr=0.001),"[128, 64, 32]",Tanh,sgd,0.001,0.8062757201646089,0.26263154158536656,0.49978529253891574,0.07473453488051264,0.07625747892847487,0.07752716547463412
128-64-32 (Tanh + SGD lr=0.0001),"[128, 64, 32]",Tanh,sgd,0.0001,0.22968106995884777,0.21107610020615816,0.5242887815351583,0.0229883356684183,0.08459964194460626,0.004272200511642863
